venue,country
Western Australia Cricket Association Ground,Australia
Bellerive Oval,Australia
Adelaide Oval,Australia
"Brisbane Cricket Ground, Woolloongabba",Australia
Melbourne Cricket Ground,Australia
Sydney Cricket Ground,Australia
W.A.C.A. Ground,Australia
Perth Stadium,Australia
Manuka Oval,Australia
Basin Reserve,New Zealand
Hagley Oval,New Zealand
Seddon Park,New Zealand
University Oval,New Zealand
"Sir Vivian Richards Stadium, North Sound",West Indies
"Sabina Park, Kingston",West Indies
"Darren Sammy National Cricket Stadium, Gros Islet",West Indies
"Darren Sammy National Cricket Stadium, St Lucia",West Indies
"Queen's Park Oval, Port of Spain",West Indies
"Kensington Oval, Bridgetown",West Indies
"Windsor Park, Roseau",West Indies
Sir Vivian Richards Stadium,West Indies
"Sir Vivian Richards Stadium, Antigua",West Indies
Queens Sports Club,Zimbabwe
Harare Sports Club,Zimabwe
Zahur Ahmed Chowdhury Stadium,Bangladesh
Shere Bangla National Stadium,Bangladesh
Sylhet International Cricket Stadium,Bangladesh
Green Park,India
Eden Gardens,India
Holkar Cricket Stadium,India
Saurashtra Cricket Association Stadium,India
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India
"Punjab Cricket Association IS Bindra Stadium, Mohali",India
Wankhede Stadium,India
"MA Chidambaram Stadium, Chepauk",India
"Rajiv Gandhi International Stadium, Uppal",India
"Rajiv Gandhi International Cricket Stadium, Dehradun",India
Maharashtra Cricket Association Stadium,India
M Chinnaswamy Stadium,India
JSCA International Stadium Complex,India
Himachal Pradesh Cricket Association Stadium,India
"Vidarbha Cricket Association Stadium, Jamtha",India
Arun Jaitley Stadium,India
Dubai International Cricket Stadium,Pakistan
Sheikh Zayed Stadium,Pakistan
Sharjah Cricket Stadium,Pakistan
Lord's,England
Trent Bridge,England
Kennington Oval,England
Old Trafford,England
Edgbaston,England
Headlingley,England
The Rose Bowl,England
Senwes Park,South Africa
Mangaung Oval,South Africa
Kingsmead,South Africa
St George's Park,South Africa
Newlands,South Africa
The Wanderers Stadium,South Africa
SuperSport Park, South Africa
P Sara Oval,Sri Lanka
Galle International Stadium,Sri Lanka
"R.Premadasa Stadium, Khettarama",Sri Lanka
Sinhalese Sports Club Ground,Sri Lanka
Pallekele International Cricket Stadium,Sri Lanka
"The Village, Malahide",Ireland
