venue,country
Western Australia Cricket Association Ground,Australia
Bellerive Oval,Australia
"Bellerive Oval, Hobart",Australia
Adelaide Oval,Australia
"Brisbane Cricket Ground, Woolloongabba",Australia
"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
Brisbane Cricket Ground,Australia
Melbourne Cricket Ground,Australia
Sydney Cricket Ground,Australia
W.A.C.A. Ground,Australia
Perth Stadium,Australia
Manuka Oval,Australia
Basin Reserve,New Zealand
Hagley Oval,New Zealand
"Hagley Oval, Christchurch",New Zealand
Seddon Park,New Zealand
University Oval,New Zealand
McLean Park,New Zealand
Bay Oval,New Zealand
"Bay Oval, Mount Maunganui",New Zealand
AMI Stadium, New Zealand
"Sir Vivian Richards Stadium, North Sound",West Indies
"Sabina Park, Kingston",West Indies
"Sabina Park, Kingston, Jamaica",West Indies
"Sabina Park, Jamaica",West Indies
"Darren Sammy National Cricket Stadium, Gros Islet",West Indies
"Darren Sammy National Cricket Stadium, St Lucia",West Indies
"National Cricket Stadium, St George's",West Indies
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",West Indies
"Queen's Park Oval, Port of Spain",West Indies
"Kensington Oval, Bridgetown",West Indies
Kensington Oval,West Indies
"Windsor Park, Roseau",West Indies
Providence Stadium,West Indies
Sir Vivian Richards Stadium,West Indies
Antigua Recreation Ground, West Indies
"Sir Vivian Richards Stadium, Antigua",West Indies
"Sir Vivian Richards Stadium, North Sound",West Indies
"Antigua Recreation Ground, St John's",West Indies
"Warner Park, Basseterre",West Indies
"Arnos Vale Ground, Kingstown",West Indies
"Beausejour Stadium, Gros Islet",West Indies
Queens Sports Club,Zimbabwe
Harare Sports Club,Zimbabwe
Zahur Ahmed Chowdhury Stadium,Bangladesh
Bangabandhu National Stadium,Bangladesh
MA Aziz Stadium,Bangladesh
Zohur Ahmed Chowdhury Stadium,Bangladesh
"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh
Shere Bangla National Stadium,Bangladesh
"Shere Bangla National Stadium, Mirpur",Bangladesh
Sheikh Abu Naser Stadium,Bangladesh
Sylhet International Cricket Stadium,Bangladesh
Khan Shaheb Osman Ali Stadium,Bangladesh
Shaheed Chandu Stadium,Bangladesh
Chittagong Divisional Stadium,Bangladesh
Green Park,India
Arun Jaitley Stadium,India
Eden Gardens,India
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,India
Holkar Cricket Stadium,India
Saurashtra Cricket Association Stadium,India
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India
"Punjab Cricket Association IS Bindra Stadium, Mohali",India
Wankhede Stadium,India
"MA Chidambaram Stadium, Chepauk",India
MA Chidambaram Stadium,India
"Rajiv Gandhi International Stadium, Uppal",India
"Rajiv Gandhi International Cricket Stadium, Dehradun",India
Maharashtra Cricket Association Stadium,India
M Chinnaswamy Stadium,India
Narendra Modi Stadium,India
Brabourne Stadium,India
JSCA International Stadium Complex,India
Himachal Pradesh Cricket Association Stadium,India
"Punjab Cricket Association Stadium, Mohali",India
Feroz Shah Kotla,India
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India
"Vidarbha Cricket Association Stadium, Jamtha",India
Vidarbha C.A. Ground,India
Sardar Patel Stadium,Pakistan
Sharjah Cricket Stadium,Pakistan
"Sardar Patel Stadium, Motera",Pakistan
Gaddafin Stadium,Pakistan
Dubai International Cricket Stadium,Pakistan
Sheikh Zayed Stadium,Pakistan
Rawalpindi Cricket Stadium,Pakistan
National Stadium,Pakistan
Multan Cricket Stadium,Pakistan
Iqbal Stadium, Pakistan
Lord's,England
Riverside Ground, England
"Lord's,London",England
Trent Bridge,England
"Trent Bridge, Nottingham",England
Kennington Oval,England
"Kennington Oval, London",England
Old Trafford,England
Edgbaston,England
"Edgbaston, Birmingham",England
Headlingley,England
"Headlingley, Leeds",England
The Rose Bowl,England
"The Rose Bowl, Southampton",England
Sophia Gardens,England
Senwes Park,South Africa
Mangaung Oval,South Africa
OUTsurance Oval,South Africa
Kingsmead,South Africa
St George's Park,South Africa
Newlands,South Africa
"Newlands, Cape Town",South Africa
The Wanderers Stadium,South Africa
New Wanderers Stadium,South Africa
"The Wanderers Stadium, Johannesburg",South Africa
SuperSport Park, South Africa
"SuperSport Park, Centurion", South Africa
P Sara Oval,Sri Lanka
Galle International Stadium,Sri Lanka
"R.Premadasa Stadium, Khettarama",Sri Lanka
R.Premadasa Stadium,Sri Lanka
Sinhalese Sports Club Ground,Sri Lanka
Pallekele International Cricket Stadium,Sri Lanka
Asgiriya Stadium,Sri Lanka
P Saravanamuttu Stadium,Sri Lanka
"The Village, Malahide",Ireland
